2, 2, 6.4
2, 4, 16.8
2, 8, 30.0
2, 16, 64.6
2, 32, 149.8
2, 64, 303.6
2, 128, 580.0
2, 256, 1182.6
2, 512, 2198.4
2, 1024, 3581.2
4, 2, 5.6
4, 4, 13.8
4, 8, 32.6
4, 16, 71.4
4, 32, 148.0
4, 64, 271.0
4, 128, 552.0
4, 256, 1174.6
4, 512, 2461.2
4, 1024, 4902.0
8, 2, 6.4
8, 4, 14.8
8, 8, 31.8
8, 16, 67.2
8, 32, 144.4
8, 64, 281.4
8, 128, 567.8
8, 256, 974.0
8, 512, 2043.2
8, 1024, 4911.0
16, 2, 6.8
16, 4, 13.4
16, 8, 32.6
16, 16, 73.2
16, 32, 137.6
16, 64, 285.8
16, 128, 572.8
16, 256, 1132.4
16, 512, 2369.2
16, 1024, 4743.4
32, 2, 7.0
32, 4, 16.6
32, 8, 32.6
32, 16, 68.0
32, 32, 139.0
32, 64, 266.6
32, 128, 624.8
32, 256, 1142.4
32, 512, 2175.8
32, 1024, 4447.0
64, 2, 7.0
64, 4, 16.6
64, 8, 34.2
64, 16, 66.0
64, 32, 137.0
64, 64, 282.8
64, 128, 463.4
64, 256, 1091.8
64, 512, 2150.0
64, 1024, 4334.0
128, 2, 6.2
128, 4, 15.8
128, 8, 33.8
128, 16, 53.2
128, 32, 130.2
128, 64, 278.8
128, 128, 615.6
128, 256, 1038.8
128, 512, 1762.2
128, 1024, 4760.0
256, 2, 6.4
256, 4, 14.8
256, 8, 33.6
256, 16, 69.2
256, 32, 136.4
256, 64, 285.6
256, 128, 592.2
256, 256, 1293.4
256, 512, 2289.2
256, 1024, 4106.6
512, 2, 6.8
512, 4, 16.4
512, 8, 34.8
512, 16, 67.0
512, 32, 139.6
512, 64, 278.0
512, 128, 583.2
512, 256, 1061.8
512, 512, 2361.8
512, 1024, 4173.0
1024, 2, 7.0
1024, 4, 16.6
1024, 8, 35.2
1024, 16, 73.2
1024, 32, 134.6
1024, 64, 275.2
1024, 128, 591.0
1024, 256, 1258.8
1024, 512, 2151.0
1024, 1024, 4882.4
