2, 2, 6.2
2, 4, 15.6
2, 8, 32.6
2, 16, 71.0
2, 32, 141.2
2, 64, 278.6
2, 128, 530.8
2, 256, 1076.4
2, 512, 2201.0
2, 1024, 4039.8
4, 2, 6.8
4, 4, 14.0
4, 8, 30.8
4, 16, 53.0
4, 32, 114.4
4, 64, 269.6
4, 128, 527.2
4, 256, 1135.4
4, 512, 2077.6
4, 1024, 4614.6
8, 2, 6.4
8, 4, 13.6
8, 8, 33.6
8, 16, 72.0
8, 32, 142.2
8, 64, 297.4
8, 128, 549.4
8, 256, 1123.6
8, 512, 2343.0
8, 1024, 4802.6
16, 2, 6.8
16, 4, 15.0
16, 8, 33.2
16, 16, 73.0
16, 32, 148.0
16, 64, 250.0
16, 128, 433.8
16, 256, 1165.4
16, 512, 2439.6
16, 1024, 4715.2
32, 2, 7.0
32, 4, 16.4
32, 8, 34.4
32, 16, 71.8
32, 32, 117.4
32, 64, 281.0
32, 128, 603.8
32, 256, 1206.0
32, 512, 2346.2
32, 1024, 4754.2
64, 2, 7.0
64, 4, 17.4
64, 8, 33.2
64, 16, 70.8
64, 32, 158.2
64, 64, 294.4
64, 128, 562.6
64, 256, 1252.6
64, 512, 1867.0
64, 1024, 4689.0
128, 2, 7.0
128, 4, 17.6
128, 8, 36.8
128, 16, 69.4
128, 32, 133.2
128, 64, 273.6
128, 128, 458.8
128, 256, 1067.2
128, 512, 2406.6
128, 1024, 4393.2
256, 2, 6.4
256, 4, 13.6
256, 8, 33.0
256, 16, 63.0
256, 32, 124.8
256, 64, 296.6
256, 128, 590.4
256, 256, 1005.4
256, 512, 2414.4
256, 1024, 4611.8
512, 2, 6.6
512, 4, 14.2
512, 8, 30.2
512, 16, 68.2
512, 32, 131.8
512, 64, 279.8
512, 128, 540.4
512, 256, 1055.0
512, 512, 2379.2
512, 1024, 4821.4
1024, 2, 6.4
1024, 4, 14.8
1024, 8, 32.2
1024, 16, 65.0
1024, 32, 126.0
1024, 64, 225.0
1024, 128, 500.2
1024, 256, 1139.4
1024, 512, 2088.6
1024, 1024, 4648.4
